[2026-03-09 19:14:01] [INFO    ] [pinarak.ml] — Sastrawi stemmer berhasil dimuat (ECS morphological stemming aktif).
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — EventRecommender diinisialisasi (model belum di-fit).
[2026-03-09 19:14:04] [INFO    ] [pinarak.ml] — ============================================================
[2026-03-09 19:14:04] [INFO    ] [pinarak.ml] — MEMULAI PROSES FIT MODEL CONTENT-BASED FILTERING
[2026-03-09 19:14:04] [INFO    ] [pinarak.ml] — ============================================================
[2026-03-09 19:14:04] [INFO    ] [pinarak.ml] — [1/4] Memuat data event dari database …
[2026-03-09 19:14:04] [INFO    ] [pinarak.ml] — Menghubungkan ke database — host=localhost:3306 db=pinarak_jogja
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Koneksi DB berhasil. Mengeksekusi query SELECT events published …
[2026-03-09 19:14:04] [INFO    ] [pinarak.ml] — Query selesai — 39 event ditemukan (status='published') | elapsed=0.088s
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — 39 kolom start_time dikonversi ke format ISO 8601.
[2026-03-09 19:14:04] [INFO    ] [pinarak.ml] — [2/4] Membangun indeks ID → array dan content profiles …
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Indeks ID selesai — 39 entri.
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=3 | title='Sanggul dan Riasan Diri' | category='Workshop'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=23 | tokens_awal=4 | stopwords_dihapus=1 | token_di-stem=1 | token_akhir=3
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=8 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=277 | tokens_awal=36 | stopwords_dihapus=9 | token_di-stem=11 | token_akhir=27
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=3 | panjang_profil=305 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=6 | title='Hajad Dalem Labuhan' | category='Cultural'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=19 | tokens_awal=3 | stopwords_dihapus=0 | token_di-stem=1 | token_akhir=3
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=8 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=742 | tokens_awal=97 | stopwords_dihapus=35 | token_di-stem=22 | token_akhir=62
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=6 | panjang_profil=547 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=7 | title='Pameran Parama Iswari' | category='Exhibition'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=21 | tokens_awal=3 | stopwords_dihapus=0 | token_di-stem=1 | token_akhir=3
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=824 | tokens_awal=95 | stopwords_dihapus=37 | token_di-stem=16 | token_akhir=58
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=7 | panjang_profil=597 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=8 | title='Launching Kalender Semarak Event' | category='Marketing'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=32 | tokens_awal=4 | stopwords_dihapus=1 | token_di-stem=0 | token_akhir=3
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=9 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=481 | tokens_awal=62 | stopwords_dihapus=32 | token_di-stem=9 | token_akhir=30
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=8 | panjang_profil=342 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=9 | title='JFFE 2025' | category='Fashion'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=9 | tokens_awal=1 | stopwords_dihapus=1 | token_di-stem=0 | token_akhir=0
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=7 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
